"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-01","Jan-1980","PC","Percentage","0","Units",,,15.5,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-02","Feb-1980","PC","Percentage","0","Units",,,15.4,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-03","Mar-1980","PC","Percentage","0","Units",,,15.72,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-04","Apr-1980","PC","Percentage","0","Units",,,15.98,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-05","May-1980","PC","Percentage","0","Units",,,15.9,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-06","Jun-1980","PC","Percentage","0","Units",,,15.06,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-07","Jul-1980","PC","Percentage","0","Units",,,15.78,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-08","Aug-1980","PC","Percentage","0","Units",,,16.21,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-09","Sep-1980","PC","Percentage","0","Units",,,16.33,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-10","Oct-1980","PC","Percentage","0","Units",,,16.71,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-11","Nov-1980","PC","Percentage","0","Units",,,16.71,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1980-12","Dec-1980","PC","Percentage","0","Units",,,16.23,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-01","Jan-1981","PC","Percentage","0","Units",,,16.03,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-02","Feb-1981","PC","Percentage","0","Units",,,16.34,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-03","Mar-1981","PC","Percentage","0","Units",,,16.28,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-04","Apr-1981","PC","Percentage","0","Units",,,15.85,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-05","May-1981","PC","Percentage","0","Units",,,15.99,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-06","Jun-1981","PC","Percentage","0","Units",,,15.52,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-07","Jul-1981","PC","Percentage","0","Units",,,14.99,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-08","Aug-1981","PC","Percentage","0","Units",,,15.09,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-09","Sep-1981","PC","Percentage","0","Units",,,15.73,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-10","Oct-1981","PC","Percentage","0","Units",,,15.96,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-11","Nov-1981","PC","Percentage","0","Units",,,16.2,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1981-12","Dec-1981","PC","Percentage","0","Units",,,15.76,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-01","Jan-1982","PC","Percentage","0","Units",,,15.52,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-02","Feb-1982","PC","Percentage","0","Units",,,15.96,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-03","Mar-1982","PC","Percentage","0","Units",,,15.92,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-04","Apr-1982","PC","Percentage","0","Units",,,16.18,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-05","May-1982","PC","Percentage","0","Units",,,15.74,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-06","Jun-1982","PC","Percentage","0","Units",,,16.08,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-07","Jul-1982","PC","Percentage","0","Units",,,16.06,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-08","Aug-1982","PC","Percentage","0","Units",,,16.07,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-09","Sep-1982","PC","Percentage","0","Units",,,16.06,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-10","Oct-1982","PC","Percentage","0","Units",,,16.48,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-11","Nov-1982","PC","Percentage","0","Units",,,16.23,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1982-12","Dec-1982","PC","Percentage","0","Units",,,15.55,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-01","Jan-1983","PC","Percentage","0","Units",,,15.81,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-02","Feb-1983","PC","Percentage","0","Units",,,15.4,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-03","Mar-1983","PC","Percentage","0","Units",,,15.82,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-04","Apr-1983","PC","Percentage","0","Units",,,16.4,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-05","May-1983","PC","Percentage","0","Units",,,17.02,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-06","Jun-1983","PC","Percentage","0","Units",,,16.7,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-07","Jul-1983","PC","Percentage","0","Units",,,16.94,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-08","Aug-1983","PC","Percentage","0","Units",,,17.63,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-09","Sep-1983","PC","Percentage","0","Units",,,17.75,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-10","Oct-1983","PC","Percentage","0","Units",,,18.11,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-11","Nov-1983","PC","Percentage","0","Units",,,18.1,,
