"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1989","1989","PC","Percentage","0","Units",,,15.03633,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1990","1990","PC","Percentage","0","Units",,,15.15158,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1991","1991","PC","Percentage","0","Units",,,13.22675,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1992","1992","PC","Percentage","0","Units",,,13.342,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1993","1993","PC","Percentage","0","Units",,,11.68808,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1994","1994","PC","Percentage","0","Units",,,8.0085,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1995","1995","PC","Percentage","0","Units",,,9.355166,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1996","1996","PC","Percentage","0","Units",,,7.495,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1997","1997","PC","Percentage","0","Units",,,5.373333,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1998","1998","PC","Percentage","0","Units",,,4.242,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","1999","1999","PC","Percentage","0","Units",,,2.9635,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.391767,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.261783,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2002","2002","PC","Percentage","0","Units",,,3.318592,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.333467,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.106325,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.184675,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.079225,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.277608,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.634233,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.228358,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.81095,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.3906,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.5731834,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.2206667,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.2099333,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.01936667,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.2636917,,
"IR3TIB","Short-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.32905,,
