"COUNTRY:Country"|"SEX:Sex"|"FIELD:Field of education"|"COUNTRY_ORIGIN:Country of origin"|"ISC11_LEVEL:Level of education"|"ISC11P_CAT:Category of education"|"YEAR:Year"|"Unit Code:Unit"|"PowerCode Code:PowerCode"|"Reference Period Code:Reference Period"|"Value"|"Flag Codes:Flags"
"AUS:Australia"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||85131.452|
"AUS:Australia"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||129223.934|
"AUS:Australia"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||97099.274|
"AUS:Australia"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||249714.324|
"AUS:Australia"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||80579.207|
"AUS:Australia"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||33152.204|
"AUS:Australia"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||81853.464|
"AUS:Australia"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2333.109|
"AUS:Australia"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||10688.029|
"AUS:Australia"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||6337.899|
"AUS:Australia"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||64477.006|
"AUS:Australia"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||9092.051|
"AUS:Australia"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||9362.873|
"AUS:Australia"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||17972.325|
"AUT:Austria"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||27577.564|
