"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.639167,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,2.73,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,2.75,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,2.81,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,2.56,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,2.54,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,2.41,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,2.64,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,2.6,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-09","Sep-2017","PC","Percentage","0","Units",,,2.7,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-10","Oct-2017","PC","Percentage","0","Units",,,2.78,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-11","Nov-2017","PC","Percentage","0","Units",,,2.57,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,2.58,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.583265,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,0.57045,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,0.58985,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,0.59235,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,0.4903,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,0.6517,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,0.55468,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,0.72924,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,0.60617,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-09","Sep-2017","PC","Percentage","0","Units",,,0.5911,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-10","Oct-2017","PC","Percentage","0","Units",,,0.60618,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-11","Nov-2017","PC","Percentage","0","Units",,,0.51445,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,0.50271,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.7225,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,0.7,,
