"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.639167,,
"IRLT","Long-term interest rates, Per cent per annum","AUT","Austria","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.583265,,
"IRLT","Long-term interest rates, Per cent per annum","BEL","Belgium","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.7225,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.783652,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.9808334,,
"IRLT","Long-term interest rates, Per cent per annum","DNK","Denmark","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.4766667,,
"IRLT","Long-term interest rates, Per cent per annum","FIN","Finland","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.5466667,,
"IRLT","Long-term interest rates, Per cent per annum","FRA","France","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.8105078,,
"IRLT","Long-term interest rates, Per cent per annum","DEU","Germany","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.3175,,
"IRLT","Long-term interest rates, Per cent per annum","GRC","Greece","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.978333,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.9625,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","A","Annual","2017","2017","PC","Percentage","0","Units",,,4.858333,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.7925,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.112925,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.05166667,,
"IRLT","Long-term interest rates, Per cent per annum","KOR","Korea","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.282583,,
"IRLT","Long-term interest rates, Per cent per annum","LUX","Luxembourg","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.5027078,,
"IRLT","Long-term interest rates, Per cent per annum","MEX","Mexico","A","Annual","2017","2017","PC","Percentage","0","Units",,,7.248333,,
"IRLT","Long-term interest rates, Per cent per annum","NLD","Netherlands","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.5220833,,
"IRLT","Long-term interest rates, Per cent per annum","NZL","New Zealand","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.990833,,
"IRLT","Long-term interest rates, Per cent per annum","NOR","Norway","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.6375,,
"IRLT","Long-term interest rates, Per cent per annum","POL","Poland","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.42,,
"IRLT","Long-term interest rates, Per cent per annum","PRT","Portugal","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.0525,,
"IRLT","Long-term interest rates, Per cent per annum","SVK","Slovak Republic","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.9166667,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.557866,,
"IRLT","Long-term interest rates, Per cent per annum","SWE","Sweden","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.655,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.07208333,,
"IRLT","Long-term interest rates, Per cent per annum","GBR","United Kingdom","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.235808,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.33,,
"IRLT","Long-term interest rates, Per cent per annum","CHL","Chile","A","Annual","2017","2017","PC","Percentage","0","Units",,,4.244958,,
"IRLT","Long-term interest rates, Per cent per annum","ISR","Israel","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.909167,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","A","Annual","2017","2017","PC","Percentage","0","Units",,,8.9925,,
"IRLT","Long-term interest rates, Per cent per annum","SVN","Slovenia","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.96,,
"IRLT","Long-term interest rates, Per cent per annum","ZAF","South Africa","A","Annual","2017","2017","PC","Percentage","0","Units",,,9.0525,,
"IRLT","Long-term interest rates, Per cent per annum","EA19","Euro area (19 countries)","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.172958,,
"IRLT","Long-term interest rates, Per cent per annum","COL","Colombia","A","Annual","2017","2017","PC","Percentage","0","Units",,,6.816667,,
"IRLT","Long-term interest rates, Per cent per annum","LVA","Latvia","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.8341666,,
"IRLT","Long-term interest rates, Per cent per annum","LTU","Lithuania","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.31,,
"IRLT","Long-term interest rates, Per cent per annum","IND","India","A","Annual","2017","2017","PC","Percentage","0","Units",,,6.92425,,
